word,definition
Xeric,Characterized by or adapted to a dry habitat.
Xylophone,A musical instrument played by striking a row of wooden bars of graduated length.
Xenophile,"An individual who is attracted to foreign peoples, manners, or cultures."
Xerography,A dry photocopying process.
Xerosis,"Unusual dryness, especially of the skin, eyes, or mucous membranes."
Xenobiotic,"Relating to or denoting a substance, typically a synthetic chemical, foreign to a living organism."
Xiphoid,"Sword-shaped, specifically relating to the xiphoid process of the sternum."
Xenogenesis,The supposed generation of offspring that is completely different from either parent.
Xeriscape,A landscaping method developed especially for arid and semiarid climates that utilize water-conserving techniques.
Yearn,To have a strong desire or longing.
Yield,To give in or to produce or generate.
Yonder,At or in that place or over there.
Yoke,A wooden cross piece fastened over the necks of two animals and attached to a plow or cart to be pulled.
Yen,A strong desire or craving.
Yeoman,A man holding and cultivating a small landed estate or a freeholder.
Yield,"A return, as a profit or interest, on an investment or venture."
Yttrium,A silvery metallic element found in the same ores as elements of the lanthanide series.
Yurt,"A circular tent of felt or skins on a collapsible framework used by nomads in Mongolia, Siberia, and Turkey."
Yesteryear,Last year or the recent past.
Zeal,Great enthusiasm or passion.
Zenith,The highest point or the peak.
Zephyr,A gentle breeze.
Zest,Great enthusiasm or enjoyment.
Zigzag,A line or course with abrupt changes in direction.
Zodiac,"A belt of the heavens within about 8° either side of the ecliptic, including all apparent positions of the sun, moon, and most familiar planets."
Zoology,"The scientific study of the behavior, structure, physiology, classification, and distribution of animals."
Zone,"An area or stretch of land having a particular characteristic, purpose, or use or subject to particular restrictions."
Zoophyte,"A plant-like animal, especially a sea anemone or other member of the coelenterate group."
Zirconium,"A grayish-white, metallic element used especially in electric apparatus and in refractory material."
