id,categoryname,en,de,fr
422,Tools,brush,die Bürste,la brosse
423,Tools,bucket,der Eimer,le seau
424,Tools,buzz saw,die Kreissäge,la scie circulaire
425,Tools,can opener,der Dosenöffner,l'ouvre-boîte
426,Tools,chain,die Kette,la chaîne
427,Tools,chainsaw,die Kettensäge,la tronçonneuse
428,Tools,chisel,der Meißel,le burin
429,Tools,circular saw blade,das Kreissägeblatt,la lame de scie circulaire
430,Tools,drill machine,die Bohrmaschine,la perceuse
431,Tools,dustpan,die Kehrschaufel,la pelle à poussière
432,Tools,garden hose,der Gartenschlauch,le tuyau d'arrosage
433,Tools,grater,die Raspel,la râpe
434,Tools,hammer,der Hammer,le marteau
435,Tools,hinge,das Scharnier,la charnière
436,Tools,hook,der Haken,le crochet
437,Tools,ladder,die Leiter,l'échelle
438,Tools,letter scale,die Briefwaage,le pèse-lettre
439,Tools,magnet,der Magnet,l'aimant
440,Tools,mortar,die Kelle,la truelle
441,Tools,nail,der Nagel,le clou
442,Tools,needle,die Nadel,l'aiguille
443,Tools,network,das Netz,le réseau
444,Tools,nut,die Mutter,l'écrou
445,Tools,palette-knife,der Spachtel,la spatule
446,Tools,pallet,die Palette,la palette
447,Tools,pitchfork,die Heugabel,la fourche
448,Tools,planer,der Hobel,le rabot
449,Tools,pliers,die Zange,la pince
450,Tools,pushcart,die Sackkarre,le diable
451,Tools,rake,der Rechen,le râteau
452,Tools,repair,die Reparatur,la réparation
453,Tools,rope,das Seil,la corde
454,Tools,ruler,das Lineal,la règle
455,Tools,saw,die Säge,la scie
456,Tools,scissors,die Schere,les ciseaux
457,Tools,screw,die Schraube,la vis
458,Tools,screwdriver,der Schraubenzieher,le tournevis
459,Tools,sewing thread,das Nähgarn,le fil à coudre
460,Tools,shovel,die Schaufel,la pelle
461,Tools,spinning wheel,das Spinnrad,le rouet
462,Tools,spiral spring,die Spiralfeder,le ressort spiral
463,Tools,spool,die Spule,la bobine
464,Tools,steel cable,das Stahlseil,le câble en acier
465,Tools,tape,das Klebeband,le ruban adhésif
466,Tools,thread,das Gewinde,le culot
467,Tools,tool,das Werkzeug,l'outil
468,Tools,toolbox,der Werkzeugkasten,la boîte à outils
469,Tools,trowel,die Blumenkelle,le transplantoir
470,Tools,tweezers,die Pinzette,la pince à épiler
471,Tools,vise,der Schraubstock,l'étau
472,Tools,welding equipment,das Schweißgerät,le fer à souder
473,Tools,wheelbarrow,die Schubkarre,la brouette
474,Tools,wire,der Draht,le fil
475,Tools,wood chip,der Holzspan,les copeaux de bois
476,Tools,wrench,der Schraubenschlüssel,la clé (à molette)
477,Traffic,accident,der Unfall,l'accident
478,Traffic,barrier,die Schranke,la barrière
479,Traffic,bicycle,das Fahrrad,la bicyclette
480,Traffic,boat,das Boot,le bateau
481,Traffic,bus,der Bus,le bus
482,Traffic,cable car,die Bergbahn,le téléphérique
483,Traffic,car,das Auto,la voiture
484,Traffic,caravan,der Campingwagen,la caravane
485,Traffic,coach,die Kutsche,le carrosse
486,Traffic,congestion,die Überfüllung,l'encombrement
487,Traffic,country road,die Landstraße,la route de campagne
488,Traffic,cruise ship,das Kreuzfahrtschiff,le navire de croisière
489,Traffic,curve,die Kurve,le virage
490,Traffic,dead end,die Sackgasse,le cul-de-sac
491,Traffic,departure,der Abflug,le départ
492,Traffic,emergency brake,die Notbremse,le signal d'urgence
493,Traffic,entrance,die Einfahrt,la voie d'accès
494,Traffic,escalator,die Rolltreppe,l'escalator
495,Traffic,excess baggage,das Übergepäck,l'excédent de bagages
496,Traffic,exit,die Ausfahrt,la sortie
497,Traffic,ferry,die Fähre,le ferry
498,Traffic,fire truck,das Feuerwehrauto,le camion de pompiers
499,Traffic,flight,der Flug,polet\
500,Traffic,freight car,der Waggon,le wagon
501,Traffic,gas / petrol,das Benzin,l'essence
502,Traffic,handbrake,die Handbremse,le frein à main
503,Traffic,helicopter,der Hubschrauber,l'hélicoptère
504,Traffic,highway,die Autobahn,l'autoroute
505,Traffic,houseboat,das Hausboot,la péniche
506,Traffic,ladies' bicycle,das Damenrad,le vélo de femme
507,Traffic,left turn,die Linkskurve,le virage à gauche
508,Traffic,level crossing,der Bahnübergang,le passage à niveau
509,Traffic,locomotive,die Lokomotive,la locomotive
510,Traffic,map,die Landkarte,la carte
511,Traffic,metro,die U-Bahn,le métro
512,Traffic,moped,das Moped,le cyclomoteur
513,Traffic,motorboat,das Motorboot,le bateau à moteur
514,Traffic,motorcycle,das Motorrad,la motocyclette
515,Traffic,motorcycle helmet,der Motorradhelm,le casque de moto
516,Traffic,motorcyclist,die Motorradfahrerin,la motarde
517,Traffic,mountain bike,das Mountainbike,le V.T.T (vélo tout-terrain)
518,Traffic,mountain pass,die Passstraße,le col de montagne
519,Traffic,no-passing zone,das Überholverbot,l'interdiction de dépasser
520,Traffic,non-smoking,der Nichtraucher,le non-fumeur
521,Traffic,one-way street,die Einbahnstraße,la rue à sens unique
522,Traffic,parking meter,die Parkuhr,le parcmètre
523,Traffic,passenger,der Fahrgast,le passager
524,Traffic,passenger jet,der Passagierjet,l'avion de ligne
525,Traffic,pedestrian,der Fußgänger,le piéton
526,Traffic,plane,das Flugzeug,l'avion
527,Traffic,pothole,das Schlagloch,le nid-de-poule
528,Traffic,propeller aircraft,das Propellerflugzeug,l'avion à hélice
529,Traffic,rail,die Schiene,rel's\
530,Traffic,railway bridge,die Eisenbahnbrücke,le pont de chemin de fer
531,Traffic,ramp,die Auffahrt,la rampe
532,Traffic,right of way,die Vorfahrt,la priorité
533,Traffic,road,die Straße,la route
534,Traffic,roundabout,der Kreisverkehr,le rond-point
535,Traffic,row of seats,die Sitzreihe,la rangée de sièges
536,Traffic,scooter,der Roller,la trotinette
537,Traffic,scooter1,der Roller,la trotinette
538,Traffic,signpost,der Wegweiser,le panneau
539,Traffic,sled,der Schlitten,le traîneau
540,Traffic,snowmobile,der Motorschlitten,la motoneige
541,Traffic,speed,die Geschwindigkeit,la vitesse
542,Traffic,speed limit,die Geschwindigkeitsbegrenzung,la limitation de vitesse
543,Traffic,station,der Bahnhof,la gare
544,Traffic,steamer,der Dampfer,le bateau à vapeur
545,Traffic,stop,die Haltestelle,l'arrêt
546,Traffic,street sign,das Straßenschild,la plaque de rue
547,Traffic,stroller,der Kinderwagen,la poussette
548,Traffic,subway station,die U-Bahnstation,la station de métro
549,Traffic,taxi,das Taxi,le taxi
550,Traffic,ticket,der Fahrschein,le ticket
551,Traffic,timetable,der Fahrplan,le tableau des départs
552,Traffic,track,das Gleis,la voie
553,Traffic,track switch,die Weiche,l'aiguillage
554,Traffic,tractor,der Traktor,le tracteur
555,Traffic,traffic,der Verkehr,le trafic
556,Traffic,traffic jam,der Stau,l'embouteillage
557,Traffic,traffic light,die Ampel,le feu de circulation
558,Traffic,traffic sign,das Verkehrsschild,le panneau de signalisation
559,Traffic,train,der Zug,le train
560,Traffic,train ride,die Zugfahrt,le trajet en train
561,Traffic,tram,die Straßenbahn,le tramway
562,Traffic,transport,der Transport,le transport
563,Traffic,tricycle,das Dreirad,le tricycle
564,Traffic,truck,der Lastwagen,le camion
565,Traffic,two-way traffic,der Gegenverkehr,la circulation en sens inverse
566,Traffic,underpass,die Unterführung,le passage souterrain
567,Traffic,wheel,bakwi\,штурвал
568,Traffic,zeppelin,der Zeppelin,le dirigeable
569,Fruits,almond,die Mandel,l'amande
570,Fruits,apple,der Apfel,la pomme
571,Fruits,apricot,die Aprikose,l'abricot
572,Fruits,banana,die Banane,la banane
573,Fruits,banana peel,die Bananenschale,la peau de banane
574,Fruits,berry,die Beere,la baie
575,Fruits,blackberry,die Brombeere,la mûre
576,Fruits,blood orange,die Blutorange,l'orange sanguine
577,Fruits,blueberry,die Blaubeere,la myrtille
578,Fruits,cherry,die Kirsche,la cerise
579,Fruits,fig,die Feige,la figue
580,Fruits,fruit,die Frucht,le fruit
581,Fruits,fruit salad,der Obstsalat,la salade de fruits
582,Fruits,fruits,das Obst,Fruits -
583,Fruits,gooseberry,die Stachelbeere,la groseille à maquereau
584,Fruits,grape,die Weintraube,le raisin
585,Fruits,grapefruit,die Grapefruit,le pamplemousse
586,Fruits,kiwi,die Kiwi,le kiwi
587,Fruits,lemon,die Zitrone,le citron
588,Fruits,lime,die Limone,le citron vert
589,Fruits,lychee,die Litschi,le litchi
590,Fruits,mandarin,die Mandarine,la mandarine
591,Fruits,mango,die Mango,la mangue
592,Fruits,melon,die Melone,le melon
593,Fruits,nectarine,die Nektarine,la nectarine
594,Fruits,orange,die Orange,l'orange
595,Fruits,papaya,die Papaya,la papaye
596,Fruits,peach,der Pfirsich,la pêche
597,Fruits,pear,die Birne,la poire
598,Fruits,pineapple,die Ananas,l'ananas
599,Fruits,plum,die Zwetschge,la quetsche
600,Fruits,plum1,die Zwetschge,la quetsche
601,Fruits,pomegranate,der Granatapfel,la grenade
602,Fruits,prickly pear,die Kaktusfeige,la figue de Barbarie
